,Pattern Name,Implementation,Primary pressure mechanic,Secondary pressure mechanic,Potential harm / consequence,Definition/Description,Examples,Mitigation Strategies,Mostly servicing gameplay ,Servicing both gameplay & business,Mostly servicing business purposes
,Loot boxes / gacha,"Players spend real money (often via an intermediate premium currency) for a randomised draw. Variable-ratio reinforcement and near-miss framing encourage repeat purchases, and 'pity' counters extend the spend cycle.",Monetary,N/A,"Financial, Emotional / psychological","Paid, randomised reward containers whose contents — and often whose odds — are unknown before purchase.",Gacha 'banners' in mobile RPGs with rate-up characters; Card or skin packs bought with premium currency; Sports-title player packs in 'ultimate team' modes,,,X,
,Hidden / undisclosed odds,"Drop rates are omitted, hidden in submenus, or stated in ways players cannot verify, so the true expected value of a purchase is unknowable at the point of sale.",Monetary,N/A,"Financial, Autonomy / choice","The probability of outcomes in a paid randomised reward is withheld, buried, or hard to verify.","A loot box that lists items but not their drop rates; Odds shown only in an external web page, not in the purchase flow",,,,X
,Premium-currency obfuscation,"Purchases are denominated in gems/coins sold in bundles that never quite match item prices, leaving stranded balances and obscuring the real cost of any single item.",Monetary,N/A,Financial,Real money is converted into in-game currency at non-round ratios that break the player's price intuition.,"Buying 1,000 gems for a 1,200-gem item, forcing another purchase; Multiple stacked currencies (coins, gems, tickets)",,,,X
,Bundle anchoring & decoys,"An overpriced top tier and a token bottom tier make the target mid-tier look rational, while leftover balances nudge the next purchase.",Monetary,N/A,Financial,Tiered packs are priced to steer players toward a 'best value' middle option through anchoring and decoys.,Starter / Value / Mega coin packs where 'Value' is the obvious pick; Limited 'bundle' deals that bundle in unwanted items,,,,X
,Pay-to-win,"Players can buy items, stats, or progression that materially affect competitive outcomes against non-paying players.",Monetary,N/A,"Competitive fairness, Financial","Purchasable power converts money into competitive advantage, undermining the implicit contract of skill.",Buyable best-in-slot gear in competitive PvP; Paid stat boosts that decide ranked matches,,,,X
,Pay-to-skip / engineered grind,"Designers tune progression to be tedious, then offer paid shortcuts; the 'problem' and the 'solution' are both manufactured.",Monetary,N/A,"Time / attention, Financial",Progression is deliberately slowed so the game can sell time-savers that remove the friction it introduced.,Doubled XP or instant-build offers after a deliberately slow curve; Resource caps that make the free path impractical,,,X,
,FOMO / limited-time offers,"Limited-time banners, expiring bundles, and countdown timers manufacture a fear of missing out that shortcuts deliberation.",Monetary,N/A,Financial,Artificial scarcity and urgency pressure players into purchases before a countdown expires.,'Only today!' starter bundles for new players; Rotating limited banners tied to events,,,,X
,Monetising basic quality-of-life,"Basic conveniences — extra inventory, auto-collect, faster menus — are withheld and sold back as upgrades.",Monetary,N/A,Financial,The game charges to remove friction that the game itself introduced.,Paid inventory expansions in games with deliberately tiny default storage; Selling an 'auto-play' for a grindy loop,,,,X
,Bait-and-switch / product not as expected,"Ads or store pages depict gameplay, characters, or value that the installed product does not contain.",Monetary,N/A,"Financial, Emotional / psychological",The advertised content or experience differs materially from what is actually delivered.,Ads showing a puzzle minigame that barely appears in the real game; Store screenshots not representative of actual play,,,,X
,Predatory / forced advertising,"Players must watch ads to continue or to claim rewards, and ads are often styled to look like gameplay, especially in children's titles.",Monetary,N/A,"Time / attention, Financial",Unskippable or rewarded ads — sometimes disguised as content — are bundled into progression.,Mandatory ad before each level retry; An 'ad' that mimics the game's own UI,,,,X
,Accidental-purchase / default-to-purchase UI,"Buy buttons sit where 'continue' usually is, confirmation is minimal, and stored payment makes a tap a charge.",Monetary,N/A,"Financial, Autonomy / choice","Purchase is the default or easily mis-tapped path, so spending happens without express, informed consent.",A 'claim reward' button that actually buys currency; One-tap purchases with no meaningful confirmation,,,,X
,Subscription / battle-pass traps,"Battle passes and subscriptions create loss-averse commitment: progress and rewards are time-boxed, and cancelling is harder than subscribing.",Monetary,N/A,"Financial, Time / attention","Easy entry and obstructed cancellation, with 'earned' value that expires if you stop paying or playing.",A season pass whose unspent tiers vanish at reset; Subscriptions easy to start but buried to cancel,,,X,
,Grinding / engineered repetition,Reward curves are tuned so meaningful progress requires large amounts of repetitive activity.,Temporal,N/A,"Time / attention, Financial",Repetitive effort is inflated to extend play or to drive pay-to-skip purchases.,Hundreds of identical runs for one upgrade; XP curves that flatten right before a paywall,,,X,
,Energy / wait timers (appointment mechanics),"An energy/lives meter depletes and refills on a real-world clock, prompting players to return on the game's schedule or pay to continue.",Temporal,N/A,"Time / attention, Financial",Play is gated by real-time cooldowns that can be bypassed for money.,Five 'lives' that refill one per 30 minutes; Timed building/crafting that costs gems to finish now,,,X,
,Daily login / streaks,"Consecutive-day rewards grow, and breaking the streak resets them — turning a habit into an obligation.",Temporal,N/A,"Time / attention, Emotional / psychological",Escalating rewards and loss-aversion penalties punish missing a day.,A 30-day reward calendar that resets on a single miss; Streak counters with escalating bonuses,,,X,
,Time fog / playtime opacity,"The interface omits clocks, session timers, or stopping cues, keeping the player in a timeless flow.",Temporal,N/A,Time / attention,Elapsed time and session length are concealed so players lose track of how long they have played.,No in-game clock or session timer; Seamless level chaining with no natural stop,,,,X
,Interruptible-but-sticky loops,"The next round, reward, or item loads automatically, removing the friction that would prompt a player to stop.",Temporal,N/A,Time / attention,Auto-advancing or endless content resists natural stopping points.,Auto-queue into the next match; Continuous reward feeds with no end screen,,,X,
,Social obligation / guilt,"Shared goals, guild quotas, or co-op stakes make stepping away feel like letting others down.",Social,N/A,"Social / relational, Emotional / psychological",The design leverages teammates' dependence to compel continued play or spending.,Guild contribution quotas with penalties; Co-op events where dropping out hurts friends,,,X,
,Parasocial-character pressure,"A trusted mascot pleads, looks sad, or rewards the player for spending, leveraging the emotional bond — especially powerful with children.",Social,N/A,"Emotional / psychological, Financial","Beloved characters urge purchases or continued play, exploiting parasocial attachment.",A sad mascot asking the child not to leave; A character who 'gives a gift' that opens the store,,,,X
,Gifting / invitation spam (social pyramid),"Rewards or gating require inviting contacts, sharing, or gifting, turning the player into a distribution channel.",Social,N/A,"Social / relational, Data / privacy",Progress is tied to recruiting or pestering friends.,'Invite 3 friends to unlock'; Daily gift-spam to a contact list,,,,X
,Impersonation / disguised system-as-friend,"Automated prompts are framed as if a friend or another player sent them, borrowing social trust.",Social,N/A,"Autonomy / choice, Emotional / psychological",System messages are styled to look like communication from a peer.,A 'message' from a fake teammate urging a purchase; NPC framed as a real co-player,,,,X
,Monetised social status,"Cosmetics, badges, or ranks that signal spending are made visible to others, turning social comparison into a sales driver.",Social,N/A,"Social / relational, Financial",Visible status is sold to exploit peer comparison and the desire to belong.,Conspicuous paid skins that mark non-payers; Leaderboards that reward spending visibly,,,X,
,Variable-ratio reward / near-miss,"Rewards arrive on an unpredictable schedule, and near-miss outcomes are highlighted to imply success was close.",Psychological,N/A,"Emotional / psychological, Financial",Slot-machine-like reinforcement and 'almost won' framing drive repeated attempts.,A pull that lands just short of the rare item; Reels or spins that frequently show near-wins,,,X,
,Sunk-cost / entrapment,"Progress, collections, or partial purchases are framed so quitting feels like wasting what is already invested.",Psychological,N/A,"Financial, Time / attention",Designs make prior investment justify further spending or time.,'You're 80% to the prize — keep going'; Collections that feel wasteful to abandon,,,X,
,Illusion of control / skill framing,"Stop buttons, 'pick a box', or timing flourishes imply agency over results that are actually random.",Psychological,N/A,Financial,Chance outcomes are presented as if skill or choice could influence them.,A 'tap to stop' wheel whose result is predetermined; Choose-your-box reveals over fixed odds,,,,X
,Aesthetic / sensory manipulation,"Lights, fanfares, and animations amplify every reward — sometimes even net-loss outcomes — to feel like a win.",Psychological,N/A,"Financial, Emotional / psychological",Celebratory audio-visual feedback reinforces spending and reward moments.,Big celebratory effects for a low-value pull; Fanfare on a 'win' that cost more than it returned,,,X,
